LST,Built,DEM,MNDWI,NDBI,NDVI,Roads
38.00940787,0.419928826,38.46075013,-0.023858337,-0.084666781,0.609819528,9.58E-06
38.28628344,0,23.49560497,0.573015875,-0.012711372,0.435686686,1.01E-05
35.30016777,0.219895288,66.75709264,-0.325418826,-0.197115715,0.820557985,0.000479758
36.20709777,0.168831169,48.18356815,-0.072877441,-0.162900511,0.657214243,0.000293614
36.94085753,0.004110997,40.96656191,-0.089269073,-0.161707839,0.733158399,0.000303563
34.16241769,0,54.20027922,-0.324078728,-0.271841666,0.825615949,0.000965328
33.89066162,0,68.6678421,-0.381054273,-0.284609638,0.850695552,0.000931331
33.34789621,0,52.09672334,-0.388352565,-0.160965369,0.82060198,0.000434948
33.60230835,3.388349515,66.48191578,-0.307035782,-0.152502051,0.748364649,0.000143089
33.31932068,0,76.8685557,-0.415399373,-0.19582054,0.866587281,1.63E-05
34.57763327,0,162.1274196,-0.384743981,-0.249469361,0.849843692,0.0013777
34.06894605,0,174.2729304,-0.358972207,-0.280286395,0.851984583,0.00136342
33.13444601,0,106.5399597,-0.362330368,-0.293840808,0.858182184,0.000933021
33.45988136,0.741843972,89.29609084,-0.340620396,-0.247042535,0.754817973,0.001529597
34.9307405,0.003565062,42.47070647,-0.143090425,-0.187177885,0.636763211,0.002105509
34.43832207,0,71.27156587,-0.360641832,-0.291486464,0.838592861,0.001861945
33.80407371,0,73.89396898,-0.402668331,-0.275788963,0.838542534,0.001425316
35.01194341,0,49.08720204,-0.386320349,-0.167911175,0.800693729,0.001052302
33.7303507,0,53.75188201,-0.44001619,-0.162199661,0.827609522,0.000644858
34.08419429,0,148.4988079,-0.391978677,-0.190044455,0.817710051,0.00017027
34.54130958,0,104.4211084,-0.359342791,-0.215666071,0.828124159,0.000264314
34.18915558,0,161.3357475,-0.416950922,-0.334587238,0.874774722,0.001497596
43.20512602,0.29707113,110.0688538,-0.278939626,-0.149811021,0.760260605,0.002032934
39.96056399,5.328877005,68.70090416,-0.243383526,-0.158676486,0.693566936,0.002363034
35.86103761,0.218549128,58.65299803,-0.357790221,-0.168834977,0.788860182,0.002073686
35.05982419,5.709825528,47.01706205,-0.306640347,-0.167850084,0.719767196,0.003299706
38.33348297,1.277183601,36.99283961,-0.312968197,-0.199843478,0.724435625,0.006080029
34.94073649,0,61.59019194,-0.332007651,-0.260024613,0.839687245,0.005518997
34.33889823,0,114.3182228,-0.39859221,-0.2398756,0.836307602,0.002148137
34.38807051,0.032411821,121.4353694,-0.383290768,-0.229263839,0.848434247,0.000619457
34.97017217,0,142.287019,-0.382102907,-0.226025079,0.84782215,0.000210039
36.98791373,0,93.27091445,-0.335867282,-0.155771486,0.729530535,0.000366277
38.724029,0.72160804,48.32821694,-0.293756082,-0.155558033,0.731609939,0.001066293
40.77798887,6.367245658,33.98601213,-0.265228258,-0.038946014,0.661850671,0.001304661
46.99709702,0,37.25298119,-0.273579478,-0.023236725,0.546015874,0.000937021
35.63901711,0,123.4694881,-0.393303085,-0.196397483,0.860298939,0.002092183
40.57868699,15.7203842,42.32204121,-0.278799848,-0.099150735,0.61280542,0.004572182
38.98037993,5.78200692,38.53851327,-0.261617436,-0.107230642,0.644100889,0.005142623
42.97031647,12.10160428,26.41682378,-0.258935651,-0.054106497,0.631675642,0.004876027
42.15224291,17.79144385,23.61303936,-0.269785988,-0.04178335,0.537084946,0.006504561
44.30770411,23.85726644,22.53162365,-0.224974907,-0.001281984,0.465768925,0.009221984
41.04858809,6.624777184,36.39278133,-0.258840341,-0.141870074,0.699934719,0.008202771
37.8612448,0.011586453,51.76018553,-0.287148725,-0.171877106,0.769122162,0.003853119
37.09168432,0.140138408,41.23065661,-0.089455329,-0.137341997,0.70719976,0.001302556
36.1159435,0.012477718,43.59877574,-0.278842391,-0.149658761,0.774955431,0.000329157
35.57320633,0.337789661,34.89877025,-0.351415538,-0.105151298,0.768448986,0.000782408
39.79672197,3.301903114,19.25144673,-0.26654543,-0.088110369,0.671222364,0.002074138
40.01965439,7.198752228,22.64058628,-0.266220057,-0.080644191,0.695162526,0.002006213
43.45963825,14.21288515,20.13164924,-0.250388831,0.002747804,0.550614255,0.001539233
39.99663283,5.789473684,50.98860598,-0.330750304,-0.122557034,0.707085263,0.001449548
40.54729462,0,57.35963058,-0.337423325,-0.230825976,0.842257261,0
36.99768066,0,82.68600082,-0.383433267,-0.172728483,0.855136514,0.000767985
