LST,Built,DEM,MNDWI,NDBI,NDVI,Roads
37.65741684,0.155172414,46.69487878,-0.265796275,-0.116079458,0.708858395,1.79E-05
38.25686824,0.606060606,32.67190818,0.146231364,-0.062582716,0.540192203,2.70E-06
37.7903699,0,23.38625873,0.596205296,-0.018314848,0.423035726,6.51E-06
41.32375383,0,24.16535068,0.430980675,0.021609913,0.513173812,3.83E-05
34.61304148,0.875,56.18694433,-0.317250157,-0.218898413,0.769387012,0.000214434
35.48304594,0.677083333,56.37626841,-0.2758994,-0.19701893,0.763824194,0.000137416
37.53050665,0,29.30704156,0.337759507,-0.067330184,0.441213726,5.63E-05
37.59192538,0,36.40889812,0.037962679,-0.120471746,0.662063738,5.77E-05
38.48067639,0,28.3368263,0.30703137,-0.043488346,0.643094912,0.00021147
35.53081156,0,70.30511445,-0.328160757,-0.18980404,0.837734255,0.000593735
34.90591679,0,69.23734103,-0.357727027,-0.258363499,0.838335,0.000574161
36.90641634,0,37.84197006,0.003654659,-0.129007487,0.585852945,0.000423969
35.96250986,0,46.14717871,-0.223041798,-0.213836434,0.758280196,0.000336741
36.49608547,0.013888889,46.56152548,-0.277113581,-0.20929877,0.820670798,0.00057829
34.09227615,0,55.40000506,-0.298945557,-0.26918862,0.821384797,0.00091118
34.38814593,0,50.33934333,-0.404961845,-0.280379648,0.839232563,0.001139928
34.13020488,0,65.3295517,-0.406522159,-0.312062204,0.853413045,0.001051903
33.84653523,0,69.28279033,-0.376362821,-0.279552586,0.850194961,0.000924238
33.61049322,0,47.25323351,-0.425513147,-0.118414795,0.819463455,0.00053504
33.18204546,0,55.15576955,-0.364882724,-0.187839417,0.821321048,0.000371732
35.11905047,5.453125,60.19547349,-0.270340881,-0.103844467,0.706138702,0.000198738
31.11329563,0,76.79812876,-0.367253055,-0.232350395,0.817658511,6.93E-05
33.31932068,0,76.8685557,-0.415399373,-0.19582054,0.866587281,1.63E-05
32.72914251,0,298.3180186,-0.369456848,-0.216224683,0.836935788,0.000984687
32.6892662,0,295.7755737,-0.355043948,-0.19113782,0.847641885,0.000971787
32.85333252,0,74.10567474,-0.396926463,-0.249546215,0.832053602,0.001186635
32.76642613,1.497237569,69.44799244,-0.366605021,-0.248129564,0.758138014,0.001224976
32.71256361,0,43.50761743,-0.166875701,-0.211175806,0.654745369,0.001394782
35.34699003,0,33.88489902,0.088053748,-0.125400601,0.475325579,0.001335241
36.24978784,0,57.23297013,-0.265040743,-0.261894927,0.827233085,0.001144592
33.87058109,0,78.0752476,-0.390961654,-0.300246971,0.846270869,0.001146236
33.22024005,0,80.15825274,-0.409890585,-0.306443946,0.850690939,0.001250777
34.51180715,0,49.7128481,-0.422461752,-0.173186316,0.826231754,0.001275379
34.73403595,0,42.74983328,-0.393356365,-0.182197936,0.825456954,0.001167895
35.64628034,0,47.84835253,-0.375911903,-0.127947455,0.766811177,0.000947368
33.7303507,0,53.75188201,-0.44001619,-0.162199661,0.827609522,0.000644858
36.2833128,0,156.4216194,-0.429776691,-0.306578614,0.863863125,0.00118495
34.51671614,0,162.3311982,-0.38313567,-0.247429745,0.849342998,0.001383819
34.44360166,0,165.7831367,-0.370386945,-0.253862613,0.849185929,0.001412348
33.62661771,0,180.9161669,-0.343703252,-0.31737829,0.856143623,0.001313706
33.2476055,0,123.3834877,-0.386073354,-0.318339463,0.868606185,0.001021925
33.0937086,0,100.4762896,-0.353782893,-0.285021293,0.854429543,0.000897128
32.75972325,0,110.3014464,-0.336670134,-0.31037819,0.844092981,0.001271416
34.56966678,0.926470588,83.17606138,-0.326767428,-0.187864207,0.669942273,0.001959866
36.09983459,0.01384083,41.27325809,-0.196172785,-0.17549841,0.666769434,0.00267473
35.45757805,0,50.77299861,-0.285169381,-0.234414407,0.741773904,0.003026125
35.24495188,0,58.72620346,-0.374253718,-0.280639229,0.828934044,0.002849795
32.60886533,0,89.11107333,-0.403979044,-0.319663015,0.85051979,0.002307156
33.41033778,0,84.42604823,-0.409271635,-0.324547736,0.854125493,0.001747037
34.66996172,0,65.0637596,-0.374628128,-0.227936538,0.809543486,0.001347142
32.90244887,0,89.39133128,-0.407911817,-0.317754333,0.861203726,0.001019031
33.41875032,0,165.8194017,-0.408489826,-0.22670496,0.83520379,0.000152359
34.29264661,0,143.0730797,-0.386806509,-0.178560442,0.812230085,0.00017581
34.54130958,0,104.4211084,-0.359342791,-0.215666071,0.828124159,0.000264314
39.11740785,0,149.7969692,-0.392632758,-0.240102948,0.834740506,0.001371662
53.86060715,1.040441176,91.71917359,-0.143658542,-0.119610298,0.580992158,0.001784064
45.40069275,11.69204152,64.22243316,-0.22641777,-0.082510641,0.582965028,0.002019303
36.5144913,0.730103806,112.1787999,-0.312706486,-0.230999835,0.763918324,0.001841173
35.67289566,0,77.02656701,-0.378013829,-0.231088756,0.791429453,0.00151031
35.44086634,0,66.47600442,-0.403019823,-0.174361747,0.793976099,0.00148448
34.47964583,0,48.93710975,-0.350072388,-0.204395942,0.78388563,0.001981982
32.29819144,0.474264706,72.93047301,-0.353978239,-0.277001193,0.831934334,0.003077174
41.4093207,0.065743945,35.82673326,-0.271715845,-0.136074745,0.620127451,0.004489937
34.58629047,0,51.22286262,-0.375017046,-0.325682049,0.845236205,0.005364652
35.97351798,0,58.08733618,-0.328462436,-0.274264433,0.859168754,0.005141612
33.40255562,0,70.38505987,-0.371250387,-0.26572675,0.849268558,0.003924745
33.33777896,0,109.7389296,-0.407804668,-0.297447499,0.84942688,0.002441249
33.3489812,0,129.5160183,-0.406456436,-0.270701616,0.849339081,0.001366897
33.63093026,0,146.5905687,-0.383135085,-0.234013598,0.855768387,0.000794115
32.95001611,0,168.2347782,-0.414343507,-0.267173049,0.851685377,0.000473549
33.87776234,0,211.3857649,-0.405618109,-0.243179425,0.856521806,0.000290051
34.3643243,0,158.4201268,-0.439139234,-0.230370224,0.847557787,0.00017699
35.59198933,0,119.2571906,-0.37627718,-0.200480916,0.760131477,0.000168606
39.10230067,0,78.80868725,-0.290738068,-0.106722222,0.569519423,0.000336788
36.6930473,0,64.81983651,-0.337820397,-0.214209796,0.759809128,0.000619354
39.80727182,2.702380952,57.86359776,-0.261288779,-0.136493993,0.682511644,0.000909
38.63261653,0,62.120024,-0.390430695,-0.070141011,0.784695123,0.001000027
34.18915558,0,161.3357475,-0.416950922,-0.334587238,0.874774722,0.001497596
35.99216992,0.003731343,128.0401211,-0.337346442,-0.234729452,0.864011101,0.001924024
41.9895646,0,85.9216464,-0.290472935,-0.036567852,0.795569592,0.00269079
40.38593043,6.389705882,44.05021817,-0.162122616,-0.116097373,0.682194478,0.00288436
37.41651297,2.393382353,51.91470132,-0.269014906,-0.20533825,0.747705572,0.002644018
37.61797032,0.9296875,39.75759763,-0.311991586,-0.169797931,0.783727757,0.0025477
34.84202782,0,49.75139103,-0.33261476,-0.099802694,0.785685766,0.002684455
36.43942421,6.764705882,31.09111838,-0.296458092,-0.082692014,0.6545756,0.003268897
37.18320094,16.59765625,34.2378242,-0.218131779,-0.101100632,0.597471982,0.0047054
38.14158567,5.069852941,34.59204207,-0.317732917,-0.137155461,0.692383059,0.006626312
39.2386947,0.128676471,25.51322571,-0.2861072,-0.196582292,0.738965011,0.00776299
36.82422866,0,41.36184022,-0.25327197,-0.212784062,0.790753126,0.007359801
33.76957368,0,74.7869492,-0.36796163,-0.284187968,0.856081232,0.005533853
34.95748641,0,136.9715044,-0.37739239,-0.16916778,0.813547835,0.003268024
35.86360493,0,79.27104612,-0.402361277,-0.21725674,0.831833472,0.001569769
36.18588759,0.125,78.69595916,-0.35141508,-0.193617114,0.84354451,0.000737056
34.55422284,0,99.7261237,-0.389869183,-0.228906205,0.843054759,0.000430454
34.86631759,0,132.6904812,-0.328524551,-0.23163794,0.859751572,0.00025222
36.52125565,0,80.11084765,-0.360161631,-0.20274688,0.829772858,0.000133143
37.01606429,0,100.3551949,-0.386756642,-0.142932334,0.78902938,0.000259054
36.27097693,0,72.07843995,-0.284601694,-0.17157911,0.802137828,0.000669363
38.00003935,0.036764706,46.47597015,-0.296664958,-0.169749509,0.777016561,0.001186028
40.89207391,0.933823529,27.13240374,-0.265054214,-0.092117696,0.687189138,0.001463962
42.0287831,9.487804878,25.66004255,-0.255971611,-0.016590614,0.62353883,0.001395197
38.87137125,1.901639344,42.70320966,-0.247974569,-0.075073911,0.703860154,0.001183973
46.99709702,0,37.25298119,-0.273579478,-0.023236725,0.546015874,0.000937021
35.63901711,0,123.4694881,-0.393303085,-0.196397483,0.860298939,0.002092183
40.16468056,6.036,61.82697948,-0.282660547,-0.160521561,0.735511485,0.003129943
38.10177576,3.4375,61.94273163,-0.341715869,-0.138967964,0.757729454,0.004189139
41.70916039,2.294117647,62.01089004,-0.284897795,-0.078812257,0.648535013,0.004420223
38.09374665,7.640138408,31.77425713,-0.271046048,-0.127445505,0.643813413,0.00402561
40.66605739,3.886029412,27.39460768,-0.310667106,-0.061076706,0.71266152,0.00393068
38.04969081,0.23183391,34.8306013,-0.268037945,-0.092831643,0.761601561,0.004293081
43.33209288,23.87543253,26.01914731,-0.291254534,-0.004300105,0.507664286,0.005027409
39.30109854,12.85661765,26.46102454,-0.275584428,-0.071316044,0.630592015,0.006537666
40.75081382,8.352941176,27.47116249,-0.276235371,-0.012393251,0.636159551,0.00842101
43.98787962,17.30103806,21.7900261,-0.213534916,-0.0292254,0.476719127,0.0094711
40.77675361,4.338235294,31.1922971,-0.195668279,-0.160556939,0.743978632,0.008912974
38.92029253,0.08650519,38.06937958,-0.291864309,-0.166002796,0.773298784,0.006881882
37.86790901,0.038062284,61.82534298,-0.354406538,-0.163045461,0.798859898,0.004321088
37.06621617,0,58.33537876,-0.317149222,-0.203532132,0.825074861,0.002292641
38.18172822,0.003460208,81.84591371,-0.347002492,-0.154982461,0.816387939,0.001159678
36.14829011,0.003460208,35.43100154,-0.153916119,-0.177490957,0.764117473,0.000680959
36.30695089,0,47.54515918,-0.175667391,-0.175446117,0.775014209,0.000368174
36.59741088,0,52.76666496,-0.267956351,-0.167053735,0.794881282,0.000180363
35.08491923,0,53.98292923,-0.374931407,-0.15257832,0.792713958,0.000398858
37.04087009,0.213235294,34.9160319,-0.246556949,-0.079838743,0.69524263,0.001002992
40.45098606,2.522491349,23.44371534,-0.217145786,-0.102700426,0.652132916,0.001697329
39.26890691,3.474048443,18.14984887,-0.330297595,-0.089183513,0.690870692,0.002094223
38.62047292,6.345588235,18.99336449,-0.294010138,-0.091475154,0.719778483,0.002003563
39.86732062,3.131487889,31.13887718,-0.277327899,-0.081026845,0.731590386,0.001510519
49.37669898,33.07894737,24.95011197,-0.213484478,0.034289065,0.40826669,0.001129369
36.32882751,0,217.4413239,-0.224421039,-0.03393632,0.831906397,0.000507988
35.57281034,0,208.2288935,-0.309668005,-0.179058019,0.866439303,0.000449092
37.52063751,0,134.7199478,-0.302541923,-0.093519635,0.803488091,0.000833953
43.7172564,37.13986014,14.5103645,-0.236091462,0.011224837,0.380610327,0.005005852
41.78606214,25.64338235,19.39559786,-0.234788696,-0.060954829,0.477173233,0.006022733
37.45800684,6.235294118,38.21196227,-0.292716177,-0.122566139,0.663670412,0.006361708
38.66060582,6.958477509,22.15694364,-0.197809724,-0.100098669,0.620384718,0.005849692
45.74605183,18.93382353,18.89733285,-0.26318212,-0.063814179,0.565098625,0.00549128
47.44719976,25.2733564,24.15994701,-0.197148251,0.000315488,0.488188441,0.005884584
44.95980382,23.10726644,22.22765009,-0.24654847,-0.034778081,0.467300495,0.006645434
40.76676322,10.61397059,19.68054059,-0.265867081,-0.059519701,0.548983308,0.007813951
44.04947508,30.31141869,17.76907856,-0.216536867,-0.000756097,0.402483815,0.00918177
48.44264793,39.46366782,23.09622746,-0.193592472,0.037246814,0.347713209,0.009904248
44.62244059,20.15808824,28.87446862,-0.237276728,-0.063794857,0.538895976,0.009405881
40.06910199,2.577854671,46.68681549,-0.305567595,-0.173632272,0.736683434,0.007648514
38.97375084,0,55.72486135,-0.357517866,-0.163412724,0.799596836,0.005436143
37.46715505,0.007352941,30.27829446,-0.110919589,-0.158599109,0.649193777,0.003553254
38.93441388,0.477508651,28.5158262,-0.153467084,-0.079243063,0.699227401,0.002173609
35.10230506,0.076124567,19.12988501,0.296564379,-0.137651508,0.549066228,0.001198802
36.9109854,0,33.97663932,-0.248004774,-0.12917963,0.725756521,0.000537002
34.70642974,0.048442907,39.77277167,-0.415857953,-0.12726781,0.801279115,0.000237952
33.15572495,0.041522491,25.7343897,-0.425216141,-0.097005047,0.824418156,0.000503293
37.19292158,1.136029412,24.34174402,-0.352875376,-0.088728032,0.756406567,0.001194285
39.3437722,2.411764706,18.94657928,-0.239603535,-0.063711785,0.66059372,0.002011302
40.12322269,4.799307958,16.46564342,-0.279134806,-0.096845753,0.681292128,0.002544942
41.80447152,12.33088235,19.31429331,-0.288999988,-0.062974522,0.678757755,0.002519818
39.80903695,7.238754325,20.7056034,-0.207516908,-0.086697965,0.65100649,0.0020221
41.18849584,6.47027027,18.16472517,-0.25013057,-0.015038762,0.6056178,0.001727577
39.07371449,1.827586207,16.93468722,-0.323748737,-0.002514079,0.65495851,0.001839511
39.48136012,0,18.63857764,-0.353275728,-0.052392835,0.770112463,0.001801684
40.29720857,9.166666667,69.85945585,-0.317610474,-0.16348615,0.670319396,0.001298632
40.54729462,0,57.35963058,-0.337423325,-0.230825976,0.842257261,0
36.99768066,0,82.68600082,-0.383433267,-0.172728483,0.855136514,0.000767985
36.81899073,0,134.5702457,-0.359654901,-0.142420848,0.811149816,0.000781807
36.16875831,0,154.8651576,-0.300502408,-0.143485388,0.824837806,0.000728323
34.85706861,0,169.1512429,-0.284088199,-0.153032485,0.865664142,0.0006185
38.88271713,0,126.4232349,-0.437864222,-0.134475194,0.832711339,3.12E-05
36.74962158,0,128.276604,-0.391801421,-0.191636309,0.817095126,1.08E-05
37.59258889,0,125.7082105,-0.286497015,-0.169627535,0.784103189,6.86E-07
38.84511948,0,121.3000412,-0.33727935,-0.081955779,0.805875944,3.79E-06
42.77686768,3.5,84.38695068,-0.316523303,-0.175093083,0.732489911,0.001105278
45.67471205,17.5,74.26583004,-0.251380796,-0.065551619,0.535181643,0.001692952
47.13017116,17.87113402,60.00075301,-0.196400799,0.054968178,0.415899054,0.002092748
38.68737556,0.132352941,67.40441972,-0.353261459,-0.190286619,0.803768141,0.001920565
36.20299022,0,99.02598893,-0.296648125,-0.207333964,0.822273653,0.0012838
35.07676476,0,149.2622857,-0.379956936,-0.242107065,0.824292823,0.000468595
34.94017426,0,234.687585,-0.347263383,-0.221657465,0.828887025,8.39E-05
35.87276569,0,250.0935979,-0.311020109,-0.189794124,0.83061743,1.86E-05
48.5155321,25.5,7.030421522,-0.186522016,0.008197138,0.315836724,0.006897624
47.49592815,27.875,10.86192349,-0.193919945,-0.003080569,0.380697043,0.007960173
46.82921233,25.51470588,18.89263813,-0.240380045,-0.047105998,0.482821007,0.00830147
43.32688549,7.455882353,22.13073419,-0.299216791,-0.139552007,0.703486588,0.007645229
49.36332853,35.07421875,14.19939818,-0.24240372,0.014466489,0.425894669,0.007073357
44.55015962,16.82720588,28.56440805,-0.209351021,-0.075931697,0.632426004,0.007172073
46.6406306,31.63602941,16.97060528,-0.175500892,0.000106804,0.418934028,0.007572638
43.60794358,15.3515625,14.26349645,-0.131829514,-0.030678272,0.453059144,0.00813134
44.40973165,33.73529412,18.91520165,-0.154094463,0.033028813,0.349296799,0.008805727
46.79397655,36.88970588,22.02903264,-0.196410624,0.018184972,0.381160492,0.009207544
42.98920204,15.98828125,20.9661364,-0.244645986,-0.100786323,0.587130881,0.008957936
45.59893876,27.96323529,25.3156028,-0.242934175,-0.02341473,0.462643961,0.007799412
43.02611218,6.944852941,50.16137093,-0.341843851,-0.090216772,0.673750184,0.006339518
40.28130242,2.49609375,30.46566635,-0.251508901,-0.084630727,0.665987983,0.004945606
40.78333807,9.691176471,22.81598369,-0.258525395,-0.092471333,0.662078818,0.003476765
38.50846981,3.058823529,42.07045572,-0.244372626,-0.158178766,0.732111097,0.001997184
36.25017501,0.01171875,27.09940552,-0.339130951,-0.157215889,0.763050302,0.000811251
35.32192025,0.066176471,28.64345159,-0.368456789,-0.128970737,0.808531831,0.000294919
34.07507167,1.025735294,27.49094035,-0.375112451,-0.069294748,0.777083964,0.000551668
36.55513981,1.08984375,25.12604974,-0.381759524,-0.090450328,0.794005707,0.001297663
42.03899567,20.18382353,18.67097102,-0.223803841,-0.04335082,0.563005054,0.00226454
38.82159571,5.897058824,16.95060875,-0.176019636,-0.092205009,0.692072139,0.002975116
41.99498543,4.31640625,17.0360972,-0.19002946,-0.000850004,0.616006564,0.003161557
38.55658599,4.617647059,15.60803616,-0.313325403,-0.07915235,0.73957303,0.002919212
38.1238044,1.334558824,15.44265568,-0.309758781,0.057903255,0.642178794,0.002665344
38.80931067,6.515625,17.61865885,-0.332252977,0.016453629,0.643576678,0.002525395
43.0265897,11.65808824,23.17654429,-0.284962621,-0.037387292,0.593788317,0.002298585
44.05708511,18.1875,46.36186941,-0.289850209,-0.119848243,0.588945147,0.001803667
35.62999571,0,140.6701201,-0.385059256,-0.259841406,0.819230853,0.001215941
36.92248344,0,220.7233963,-0.482036039,-0.068506062,0.7890791,0.000875549
37.06154642,0,84.98450955,-0.170513325,-0.166171974,0.847577686,0.001069382
36.86137382,0,120.0708558,-0.368758777,-0.192931383,0.849947889,0.001115447
36.33818907,0,111.818795,-0.289089147,-0.177300346,0.838769748,0.001059059
35.46730327,0,145.2778755,-0.316666041,-0.192407331,0.845644853,0.00080649
35.50827821,0,104.8893592,-0.257022551,-0.240990256,0.868173043,0.000655376
36.53562559,0,87.01485547,-0.154348918,-0.057870164,0.728604829,0.000130519
36.52545287,0,114.7731825,-0.349928266,-0.176857653,0.82481402,9.20E-05
37.7529619,0,138.2910725,-0.340609974,-0.18580075,0.806365545,7.98E-05
38.38200965,0.018518519,115.1287472,-0.322105832,-0.143754027,0.815077409,0.00016132
39.91271129,0,91.35875391,-0.341224277,0.014348303,0.802280744,0.000301536
37.96296894,0,69.27634632,-0.380087355,-0.220908369,0.857445366,0.000305923
37.67829323,0,60.95134246,-0.356230183,-0.222301073,0.839043913,0.000371813
39.66610604,0.653225806,59.7008431,-0.288496061,-0.141029677,0.752668097,0.000663737
39.59995688,0.023346304,76.30659978,-0.227580373,-0.18035952,0.784866158,0.001432491
43.93399085,4.19140625,73.14444534,-0.182564449,-0.023822748,0.530828374,0.002761421
47.46539131,18.61397059,56.55345074,-0.217528546,-0.002618044,0.504376312,0.00369077
45.98643165,21.6875,62.652552,-0.270106188,0.032847734,0.498756548,0.003510622
38.46981835,3.14453125,69.06676097,-0.313729843,-0.122262272,0.733992245,0.002348055
36.13129987,0,102.3707302,-0.358592188,-0.184215835,0.797746948,0.000916652
34.83806941,0,155.1385727,-0.345292329,-0.248237109,0.842969424,0.000181143
35.7101738,0,204.1895527,-0.380727516,-0.250913959,0.830795317,5.21E-05
45.02908191,38.4,8.538148448,-0.188750203,0.019469629,0.376560612,0.009060558
43.51457481,28.72794118,10.70224597,-0.196282866,-0.022587982,0.46195964,0.009775705
44.81649539,28.15224913,15.61334362,-0.148672564,-0.035142334,0.450807717,0.009928449
42.17857629,5.816608997,16.22063942,-0.215884925,-0.133125063,0.675026863,0.00912565
45.70594044,22.40808824,10.89033066,-0.244788136,-0.030274132,0.526088143,0.008324128
44.34081103,14.28027682,22.32635914,-0.240184693,-0.07204641,0.580465606,0.007926734
46.77438213,20.71626298,15.24117305,-0.173735724,0.008801673,0.388349604,0.007777745
44.24413361,32.46323529,13.48777338,-0.201060982,-0.014934174,0.433731152,0.007864133
41.47861545,32.816609,19.74214802,-0.130186234,0.01056853,0.406728052,0.008171379
44.79779672,39.99307958,18.41581702,-0.206211862,0.01080015,0.3803894,0.008478341
44.25154769,18.31617647,13.45189121,-0.223001311,-0.031069325,0.455472999,0.008448863
47.29240721,27.03114187,18.6046433,-0.211573984,0.032369289,0.324976293,0.007947574
44.68867074,32.8615917,17.35284688,-0.180636832,0.051647422,0.350529899,0.007324698
43.46430992,25.52205882,14.74771546,-0.225188737,0.007271276,0.485155576,0.006418371
45.05728242,33.06920415,13.14489651,-0.177996912,0.043452424,0.36547703,0.004845207
40.33745807,5.795847751,24.15211382,-0.214162665,-0.00327618,0.65124032,0.002969337
36.8165877,0,50.99196146,-0.310294699,-0.101281597,0.784232971,0.001390454
34.91561492,0.228373702,36.00489869,-0.234356837,-0.204594725,0.808164304,0.000577563
34.33699969,0.425605536,37.96099518,-0.354173404,-0.138186658,0.824538291,0.000747545
35.54520995,0.150735294,29.08467386,-0.360752076,-0.12437243,0.804070916,0.001592379
41.04223249,18.28719723,16.53701956,-0.230002409,-0.036657865,0.540055247,0.002811196
38.70019082,10.37024221,13.30390992,-0.235792789,-0.046434572,0.582480341,0.003885505
40.94155979,6.389705882,14.60158091,-0.275747731,0.001802432,0.628478855,0.004484955
41.42016606,0.152249135,20.33574224,-0.231525233,-0.042179868,0.620773763,0.004587343
38.5419686,1.269896194,25.22429101,-0.30622806,-0.080703377,0.698925074,0.00435567
41.5513999,4.466911765,26.08709119,-0.273262519,-0.038952796,0.692570429,0.003919747
47.14978473,28.20761246,30.13761811,-0.259582038,0.000280282,0.547151063,0.003367108
41.28014564,9.972318339,53.25350643,-0.263600835,-0.125335403,0.568132499,0.002597997
34.62342239,0,130.7312323,-0.399282412,-0.279741518,0.830819091,0.00159366
35.29066404,0,223.9193611,-0.391177915,-0.229115178,0.799707651,0.000899557
36.88291256,0,43.57427113,-0.389754946,-0.221087202,0.834126133,0.000205942
38.75535467,0,79.62766952,-0.179668271,-0.095370451,0.796780797,0.001514119
37.51662173,0,97.76451597,-0.3638122,-0.126701931,0.82860576,0.001585414
36.68860041,0,93.24801922,-0.346169063,-0.141447734,0.84015673,0.001367522
36.98303219,0,110.712501,-0.251606755,-0.190237996,0.847322172,0.00093639
36.06957488,0,111.8178044,-0.313712538,-0.200724429,0.839082816,0.000639602
37.54444885,0,58.48605576,-0.228674283,-0.130951418,0.786050125,0.000525924
36.57555445,0,83.85219515,-0.351315033,-0.10210025,0.764883541,0.000533805
36.7384485,0,86.92615756,-0.300707563,-0.12617887,0.759923571,0.000649561
36.9184328,0,123.9145524,-0.378112685,-0.174041661,0.800082354,0.000706678
38.29581126,0,103.8813729,-0.362440489,-0.172423474,0.804910679,0.00070024
40.08657057,0,92.66810187,-0.291147677,-0.020795982,0.795697323,0.000698639
38.14598689,0,79.91671876,-0.357665719,-0.151213024,0.82439694,0.000714879
38.25896702,0,61.33392418,-0.344265601,-0.165729122,0.799708019,0.000940609
39.42436184,0,69.79177874,-0.351976039,-0.149516358,0.791071162,0.001587263
