LST,Built,DEM,MNDWI,NDBI,NDVI,Roads
37.47107697,0,35.91306114,-0.08089176,-0.136902392,0.667939156,8.44E-06
36.33714724,0,43.53736401,-0.150722705,-0.202925423,0.729487628,5.00E-06
37.71779459,0,49.35371434,-0.307385652,-0.115516652,0.731952868,1.32E-06
38.54205577,0.611111111,31.43456576,0.104177583,-0.073906278,0.55572095,8.56E-08
37.01647915,0,23,0.595848121,-0.051698467,0.363288539,1.70E-07
39.32406998,0,28.39692044,0.201324991,0.054313176,0.65366035,3.92E-06
39.9423027,0,27.52111053,-0.285107404,0.041102808,0.602052391,1.27E-05
37.60901724,0,50.34755988,-0.341140415,-0.124685603,0.769458318,2.94E-05
37.8600359,0.28125,45.02942795,-0.236514146,-0.098925214,0.667789768,1.53E-05
37.32495546,1.390625,37.86989948,-0.057510864,-0.126278285,0.665666797,5.43E-06
39.09629673,0,25.81219779,0.407151613,0.004953586,0.395480277,9.56E-07
36.21084088,0,23,0.662466528,-0.051209373,0.260237998,1.27E-06
39.31119889,0,23.21257296,0.57936549,0.011238984,0.567274424,1.46E-05
41.38381693,0,24.01944807,0.462114939,0.020762395,0.509309526,3.96E-05
33.72616924,2.727272727,57.59257577,-0.316880057,-0.138553786,0.646193445,0.000112996
36.93773646,0.8875,58.11240549,-0.335949609,-0.123414721,0.704568861,8.70E-05
34.8621294,1.722222222,41.38757835,-0.049795398,-0.126271376,0.680969476,5.84E-05
37.52889697,0,30.03223806,0.228631195,-0.090915187,0.633148545,2.80E-05
38.75692645,0,23.52845084,0.60414301,0.002967107,0.276188252,8.95E-06
37.8142545,0,37.4813674,0.034073973,-0.120080025,0.661679855,1.01E-05
37.37489663,0,39.84568983,-0.009234389,-0.144925956,0.716971317,4.74E-05
39.54002967,0,23.50242226,0.494658839,0.048983283,0.561122049,0.000107032
34.8767062,0.324324324,55.7690539,-0.317360187,-0.242784654,0.806012126,0.000244649
35.42434602,0,66.86915959,-0.371335076,-0.290707797,0.831819948,0.000218718
34.42925131,0,59.26387078,-0.347838504,-0.263215214,0.854609693,0.000175211
36.81193197,0,42.37781176,-0.231418174,-0.175653619,0.745503632,0.000115893
36.7911271,0,23.46429722,0.653142095,-0.026542135,0.164452648,6.41E-05
38.4762941,0,26.33871678,0.358435562,-0.025655374,0.524466463,5.57E-05
36.70159376,0,41.40616083,-0.225038706,-0.188217817,0.738321855,0.000116989
37.65136407,0,32.59686873,0.147454452,-0.098625002,0.698411154,0.000220491
38.69149886,0,25.4993817,0.394438745,-0.093145128,0.661713557,0.0003719
36.27192992,0,61.92187823,-0.31138821,-0.176147113,0.830465433,0.000447608
35.26426914,0,70.74468417,-0.383051563,-0.301763357,0.855671393,0.000443064
35.45844936,0,68.45501971,-0.377100095,-0.294743328,0.852890259,0.000398605
36.51098573,0,50.37843043,-0.302637669,-0.192616859,0.803286517,0.00031848
37.07990212,0,27.11648186,0.383716259,-0.037869965,0.340227753,0.000230924
37.51086354,0,35.13117072,0.041925716,-0.111439768,0.636712308,0.000189011
35.3604483,0,47.35174295,-0.299779609,-0.259572245,0.809694421,0.00025321
36.4395459,0,53.36835257,-0.316495162,-0.249239726,0.846524658,0.000387736
38.15234672,0,36.9542675,-0.149742618,-0.147939528,0.822244814,0.000550015
36.398031,0,29.64972234,-0.033748764,-0.114050684,0.754894871,0.000727883
34.88021469,0,31.67999458,-0.395121843,-0.050125863,0.752739012,0.000866336
30.67263412,0,66.63873291,-0.414247334,-0.320839733,0.861013591,0.000475696
32.79710455,0,58.42200813,-0.40213988,-0.212951381,0.841586608,0.000411188
34.27698806,0,52.26321203,-0.323233394,-0.145804005,0.787110161,0.000315771
36.18996471,6.27027027,61.20125714,-0.217738957,-0.068858152,0.672781761,0.000229963
33.65150134,4.333333333,58.81717738,-0.342424999,-0.151788677,0.751850066,0.000152579
30.41951074,0,86.51840443,-0.40596852,-0.331941592,0.865485926,9.09E-05
35.49745337,0,59.57887808,-0.35643115,-0.254426374,0.823065802,0.0006998
34.92906594,0,78.96241686,-0.337193195,-0.190224743,0.846135394,0.00071457
34.465117,0,84.94432737,-0.355219864,-0.193178304,0.841082585,0.000743625
34.55232414,0,50.75503498,-0.318002546,-0.255959358,0.804969568,0.000715613
36.03512764,0,41.71700581,-0.224593261,-0.219914214,0.741681204,0.000629316
37.83912461,0,34.02590973,0.110717918,-0.07895338,0.493873078,0.000517155
36.03726361,0,49.00162548,-0.233102541,-0.218648933,0.744414034,0.000440237
35.04660755,0,52.01401525,-0.380296345,-0.259389141,0.834505171,0.000470035
36.30844243,0.049382716,42.86188776,-0.279933804,-0.209524046,0.797181082,0.0005969
35.31449487,0,52.32314157,-0.346008841,-0.222793717,0.819865604,0.000759404
33.76157464,0,59.10514747,-0.366151109,-0.29503498,0.837398368,0.000907059
33.38725413,0,63.46887734,-0.348269464,-0.315334993,0.835875718,0.001022039
34.71553802,0,55.40417295,-0.410036942,-0.289721075,0.839201206,0.001128457
33.59012771,0,37.99382114,-0.392591296,-0.25760992,0.839308996,0.001184666
33.77277756,0,55.42020416,-0.434303463,-0.288093617,0.846164962,0
34.39827538,0,72.76156235,-0.385686181,-0.330038644,0.858849108,0.001051903
34.14534256,0,70.91901535,-0.380079584,-0.28401595,0.847967951,0.000952524
33.27190575,0,66.13620377,-0.3692152,-0.270969195,0.854477671,0.000865096
33.8445549,0,42.8483963,-0.438172787,-0.107908323,0.83719331,0.000601102
33.66927143,0,46.92756694,-0.425482846,-0.114242654,0.81817476,0.000532938
31.94577209,0,56.46575331,-0.392242931,-0.226314604,0.852784009,0.000450389
31.24401283,0,65.55677986,-0.364466076,-0.191701733,0.775069863,7.16E-05
31.89355062,0,69.63033752,-0.321909289,-0.129100422,0.777301073,3.68E-05
33.31932068,0,76.8685557,-0.415399373,-0.19582054,0.866587281,1.63E-05
32.09225173,0,63.15007128,-0.361238873,-0.286198498,0.801931411,0.000976441
31.56612569,0,71.4048624,-0.380893316,-0.242154636,0.799838204,0.001062274
33.14020703,0,53.30771632,-0.339605796,-0.237399557,0.796861974,0.001144441
32.64392349,0,36.901104,-0.041995052,-0.187964802,0.592698887,0.001159634
33.60219771,0,32.61916411,0.18060406,-0.155719089,0.461986502,0.001094675
37.88850154,0,25.47091794,0.219955827,-0.059679636,0.436820919,0.000979457
36.8779425,0,51.82844681,-0.265761448,-0.257812251,0.803205309,0.000871724
36.67029774,0,57.73643702,-0.273411366,-0.270736825,0.864962289,0.000838362
34.99685642,0,56.88688294,-0.373561639,-0.261009904,0.834765042,0.00089661
33.22680265,0,77.34843427,-0.404537744,-0.322872042,0.857050555,0.001013106
32.88222373,0,79.5538227,-0.379730598,-0.321576639,0.853135497,0.001119998
33.45110448,0,87.23052957,-0.43190728,-0.269305287,0.84736833,0.001192341
34.78174518,0,54.05682673,-0.42085873,-0.214685215,0.83298371,0.001233198
33.68825982,0,38.13049455,-0.462470754,-0.241885712,0.842620622,0.00121683
34.67373715,0,39.66577911,-0.429184802,-0.203416578,0.840050015,0.001214607
35.02970135,0,43.61695981,-0.354486,-0.146473718,0.80635126,0.001133252
36.00351673,0,45.81978434,-0.345867458,-0.142754184,0.750278585,0.001003674
36.88028424,0,44.18655034,-0.395969026,-0.089930869,0.736644422,0.00088296
34.35472353,0,43.08714294,-0.429998725,-0.103655045,0.779873177,0.000671235
33.70292306,0,45.26590657,-0.437013548,-0.140366726,0.832772229,0.00060156
32.72914251,0,298.3180186,-0.369456848,-0.216224683,0.836935788,0.000984687
32.6892662,0,295.7755737,-0.355043948,-0.19113782,0.847641885,0.000971787
