LST,Built,DEM,MNDWI,NDBI,NDVI,Roads
37.93417754,0.275700935,33.28329631,0.189107443,-0.061877682,0.545667148,8.47E-06
41.32375383,0,24.16535068,0.430980675,0.021609913,0.513173812,3.83E-05
32.72344589,0,297.9548122,-0.367397862,-0.212640845,0.838465231,0.000983253
34.06409787,0.839142091,68.08256569,-0.34559633,-0.222010989,0.790299221,0.000851257
35.86160408,0.078031212,45.54208841,-0.089557809,-0.175140376,0.666093225,0.000610037
34.90870694,0.003028009,59.6410894,-0.28655634,-0.238142855,0.814526092,0.000939308
34.60778103,0,49.51731684,-0.400260184,-0.164296829,0.809667681,0.000904213
33.42387271,1.94972067,61.67304922,-0.331596495,-0.167505625,0.779340551,0.000241821
33.31932068,0,76.8685557,-0.415399373,-0.19582054,0.866587281,1.63E-05
42.18946135,0.262234534,116.1655569,-0.291674095,-0.16236218,0.771018955,0.001950149
37.75279998,2.891627907,89.17871992,-0.296119307,-0.198619075,0.753985913,0.002032551
34.6488535,2.785191563,64.28175608,-0.330317546,-0.186002068,0.753012555,0.002472368
36.99547459,0.5748,44.18769924,-0.298493849,-0.219238281,0.752593023,0.005026538
33.88099022,0,93.80806061,-0.391704034,-0.266193477,0.841410842,0.002643488
34.36845773,0.02189311,135.5339895,-0.377868333,-0.233173922,0.851672729,0.000512324
36.34303974,0,104.3041522,-0.358502541,-0.176376448,0.76837795,0.000286944
39.0577828,2.242468773,48.08886214,-0.293508839,-0.131997123,0.719469011,0.001078583
39.00243135,1.870967742,42.61530275,-0.248387551,-0.074237827,0.701314278,0.001178094
42.43536484,18.67264224,34.29513289,-0.256679808,-0.073727107,0.549055436,0.005450976
42.28995345,12.3352,28.77413295,-0.266936975,-0.0819986,0.609534435,0.005901095
43.18837857,17.778,23.83163094,-0.230226706,-0.040838438,0.546300676,0.006562887
44.10437245,23.018,23.55555195,-0.214319516,-0.029750724,0.494544264,0.009126056
39.89051158,4.3668,44.35936639,-0.287313836,-0.137429553,0.711572823,0.005469186
37.45627292,1.4532,37.76925103,-0.17690199,-0.140019859,0.720117238,0.001381368
35.50161802,0.3876,35.0404563,-0.356756736,-0.112048871,0.78321723,0.00063168
40.25015704,6.8384,18.68986637,-0.24964192,-0.072381874,0.662165435,0.002360212
39.96184894,6.546397695,20.24565909,-0.278988255,-0.028276155,0.655176895,0.002179347
41.4361836,10.76178344,60.66342761,-0.313382324,-0.124249197,0.653208746,0.001817819
36.92248344,0,220.7233963,-0.482036039,-0.068506062,0.7890791,0.000875549
36.55133622,0,129.4596466,-0.310636254,-0.162184476,0.834953034,0.000938839
35.24343768,0,161.755918,-0.301815841,-0.176359473,0.856572821,0.000688713
36.73121655,0,90.29888709,-0.177975193,-0.064253916,0.737280371,0.00012238
37.27886482,0.002022245,125.4594239,-0.343405666,-0.17666898,0.811341152,7.11E-05
38.58778227,0,74.78337867,-0.358546716,-0.135377725,0.831627077,0.000329837
41.89119873,3.721088435,72.26930782,-0.226237972,-0.10538527,0.660346114,0.001823303
42.10809636,9.902723735,69.74917029,-0.27823529,-0.078430426,0.640036245,0.002500132
35.30009667,0,161.1793796,-0.358328876,-0.224701499,0.823765877,0.000408541
48.03275681,0,4.723577023,-0.201792717,-0.022975132,0.327767968,0.010425022
42.01054124,36.55448938,9.411669321,-0.204820184,-0.002951705,0.368658858,0.011426018
44.12344773,21.5404,14.74960807,-0.220054081,-0.060897651,0.51979185,0.009838907
44.92011163,28.0264,13.20316535,-0.218137341,-0.013465394,0.428543881,0.008043989
43.79784168,29.9804,13.77499547,-0.171186601,0.00145316,0.380221065,0.008883675
44.96573697,28.676,13.71868394,-0.167999524,0.013405092,0.380053178,0.008165969
40.59027733,15.0368,22.31208469,-0.191026609,-0.043033122,0.563965945,0.004187055
36.14684725,2.9016,37.64595982,-0.290289763,-0.147672485,0.768142345,0.001918888
42.25692986,18.2672,15.78252633,-0.242143127,-0.004805315,0.512877272,0.005387385
41.35359917,8.8604,36.4895745,-0.249711594,-0.052060143,0.604833747,0.006111974
40.0481317,9.622159091,51.41104911,-0.249880312,-0.062143659,0.563156648,0.003097415
35.96179521,0.117142857,95.77236979,-0.207951643,-0.165482216,0.746242182,0.000310185
36.87924038,0,127.3055346,-0.359562115,-0.23689299,0.848790174,0.002304456
37.56992241,0.065170479,78.66017391,0.009188822,-0.043977233,0.670043402,0.001727776
36.79763707,0.430379747,98.55607747,-0.198778191,-0.134717522,0.80713996,0.000632686
36.94473218,0,103.9062494,-0.31483351,-0.160210045,0.861173205,7.63E-05
39.31505408,0.53054221,73.98487885,-0.31436883,-0.066239825,0.717971377,0.001061449
37.86790371,0.0232,92.74862728,-0.310707945,-0.126703843,0.767995145,0.001977815
39.79965242,1.1332,74.80557272,-0.318680021,-0.106183446,0.779416316,0.00212754
41.24303443,3.7508,64.33179931,-0.288478763,-0.101688531,0.718174429,0.005314718
46.97100426,19.8816,51.95238162,-0.201912718,0.029742019,0.49603217,0.007775029
38.90318023,2.425559105,87.54787844,-0.282310529,-0.053282851,0.681297177,0.001797334
47.44181951,4,1.623755442,0.281638483,-0.091112888,0.24060029,0.002372142
39.77763101,17.44478528,4.991745932,-0.045597164,-0.0243279,0.314313653,0.003617757
44.16309445,18.97314376,6.390160441,-0.121975474,0.009216332,0.367102127,0.008964619
45.71535089,24.8704,8.644508151,-0.148180922,-0.021368026,0.381398111,0.014513214
40.16123109,13.0224,12.44310645,-0.188947303,-0.057168136,0.504693771,0.010222953
41.29878642,18.4576,6.703935211,-0.153165076,-0.016005295,0.393892832,0.009669922
43.54202061,36.8304,9.493775682,-0.187889919,0.039767645,0.330802724,0.012255936
42.36073511,30.7164,11.95744601,-0.182930061,0.027651539,0.365005561,0.010691132
41.22036884,17.3876,17.13937272,-0.22527256,-0.045726023,0.523802096,0.008075362
40.62769235,10.5156,21.69915282,-0.231968534,-0.06517254,0.580973695,0.00654618
43.15530041,20.5668,22.02977871,-0.227423475,-0.029353802,0.514110758,0.007772169
40.33075939,13.3848,20.66659195,-0.221252837,-0.002582015,0.515843652,0.007705916
36.2105085,1.1656,30.64234417,-0.085643793,-0.003544862,0.547457417,0.002379099
34.69464236,0.000401768,71.96574118,-0.024403365,-0.086113469,0.62351323,0.000116249
31.11947038,0,228.436205,-0.404701559,-0.28193973,0.829358912,0
36.02617139,0,158.0602841,-0.320942389,-0.223278051,0.848445094,0.000332621
36.79513826,0.002106742,176.8067898,-0.348427892,-0.185950878,0.838812168,0.000876422
37.52450981,0.087647593,110.8272627,-0.279739091,-0.133466663,0.802939099,0.002372633
36.30246422,0.0168,71.02179539,0.204075585,-0.045570769,0.563701176,0.001560894
35.85455048,0.0984,75.94569293,0.153322286,-0.076492215,0.68565299,0.000157978
36.96659375,0,103.9627947,-0.187719,-0.144507771,0.788760239,1.10E-05
38.31073548,0,135.9891991,-0.334051354,-0.151973364,0.796651113,0.000386805
39.43516844,0.3836,81.14800124,-0.212370953,-0.089844659,0.713689143,0.00200405
44.64691336,12.0464,45.35728616,-0.1940927,-0.00630232,0.586534124,0.004825925
45.10048328,20.4368,53.24558439,-0.218764618,-0.008229388,0.508099055,0.005775878
46.30631969,23.1472,40.56884638,-0.213861699,-0.001376231,0.517221419,0.007918524
45.00991261,13.6764,55.19056819,-0.238873281,-0.064872625,0.64529689,0.008265932
42.35702193,5.090826521,68.78423175,-0.207337951,-0.090109176,0.705738673,0.002603434
42.88399887,10.85714286,39.35312843,-0.069349137,-0.050910473,0.692344706,0.001219976
