LST,Built,DEM,MNDWI,NDBI,NDVI,Roads
37.10983253,2.23787062,83.27974158,-0.311884506,-0.188553005,0.759094049,0.002107205
35.4968804,0.16227504,73.8950531,-0.279283749,-0.20921122,0.7680004,0.001782834
39.0416007,2.206989247,47.69075577,-0.289994479,-0.127312525,0.718252726,0.001085516
44.51207001,26.64517144,7.49707333,-0.1176554,-0.001520586,0.360138713,0.006131781
43.18273333,23.21622799,13.93437547,-0.190140629,-0.025678363,0.444157494,0.009660183
41.37687433,19.201675,21.71565961,-0.215700886,-0.038069056,0.513256355,0.00733969
38.8763491,7.74301226,35.65093214,-0.150616053,-0.039154256,0.570516321,0.003556244
36.89888974,0.109411476,106.375104,-0.180893104,-0.131157405,0.759775304,0.001720563
38.24956849,1.699344645,98.28118429,-0.155640792,-0.094484855,0.71338323,0.00120319
44.09473866,16.0023674,55.78745917,-0.232217066,-0.036976744,0.583271585,0.005162808
41.21924334,7.633179724,67.88949236,-0.237680141,-0.081922862,0.66399898,0.003147439
45.10718476,18.49474166,30.83497159,-0.208732137,0.026290791,0.484356568,0.004770303
43.85268333,25.18607794,6.174699643,-0.093623598,0.012669723,0.36225221,0.008427775
44.75472046,28.69895,13.77080629,-0.142179403,0.010632599,0.397169612,0.010648746
43.28233323,18.2819,29.62546867,-0.18814265,-0.013989913,0.487180127,0.008510623
38.96926839,8.438025,70.28618248,-0.254450869,-0.120061382,0.628068251,0.005359071
38.70951864,15.27933677,70.40628211,-0.245162574,-0.087344229,0.530436935,0.005241015
42.00664393,22.47336763,49.23402522,-0.197734645,-0.046531731,0.51864878,0.006392722
41.77018726,9.761097411,68.28340883,-0.157356852,-0.015017577,0.578381741,0.004339858
39.91351416,10.85168739,79.29421807,-0.177134748,-0.087529223,0.636818757,0.008363574
43.073366,22.6331,52.97958052,-0.162068032,-0.031545856,0.513185698,0.009459414
43.44375486,16.475675,53.87049665,-0.190862626,-0.041713046,0.569049265,0.004625701
41.76307868,15.62349194,49.37986606,-0.148761679,-0.029613893,0.568210876,0.008340134
41.86345546,12.50772901,41.00762157,-0.228056776,-0.035007834,0.562508814,0.005654629
46.54511536,20.60613599,6.208421298,-0.059481393,0.012540128,0.296651622,0.008906004
42.45977834,19.14645,55.59653716,-0.166769628,-0.058423948,0.536569207,0.00783527
40.19603779,8.978675,62.54969047,-0.205038187,-0.116478351,0.618203514,0.00465129
38.20497032,14.8888,116.0461488,-0.283867234,-0.126009187,0.60786466,0.00593429
36.98021906,22.67005,76.19529409,-0.187405625,-0.051881774,0.457132931,0.009093432
40.87830425,18.720425,83.83226696,-0.146747866,-0.022386751,0.553401808,0.009731437
43.48282228,23.92929781,69.50592053,-0.125009852,4.15928E-05,0.506201766,0.010528574
42.05940102,11.62451561,71.79242395,-0.132743944,-0.068022079,0.625009024,0.009968944
40.98405676,13.673425,78.49982598,-0.114641494,-0.054156112,0.616023095,0.006391247
41.00825856,15.93205,73.22092932,-0.187133605,-0.040338926,0.568304409,0.006519623
40.0804407,13.4584,71.02204533,-0.206878542,-0.088950721,0.632874473,0.006762046
35.50628754,2.640467553,203.8017657,-0.343155798,-0.259730963,0.802949555,0.002610849
